,Title,Poet,Poem
11,Sway,Karla Huston,"The cruelest thing I did to my dog
wasn’t to ignore his barking for water
when his tongue hung like a deflated balloon

or to disregard his chronic need for a belly rub
but to teach him to shake hands,
a trick that took weeks of treats, his dark eyes

like Greek olives, moist with desire.
I made him sit, another injustice,
and allowed him to want the nuggets enough

to please me. Shake, I said. Shake?
touching the back of his right leg
until he lifted it, his saliva trickling

from soft jowls, my hand wet with his hunger.
Mistress of the biscuit, I ruffled his ears
and said good dog until he got it. Before long,

he raised his paw, shook me until he got
the treat, the rub, the water in a chilled silver bowl,
the wilderness in him gone, his eyes still lit with longing."
13,The Vanity of the Dragonfly,Nancy Willard,"The dragonfly at rest on the doorbell—
too weak to ring and glad of it,
but well mannered and cautious,
thinking it best to observe us quietly
before flying in, and who knows if he will find
the way out? Cautious of traps, this one.
A winged cross, plain, the body straight
as a thermometer, the old glass kind
that could kill us with mercury if our teeth
did not respect its brittle body. Slim as an eel
but a solitary glider, a pilot without bombs
or weapons, and wings clear and small as a wish
to see over our heads, to see the whole picture.
And when our gaze grazes over it and moves on,
the dragonfly changes its clothes,
sheds its old skin, shriveled like laundry,
and steps forth, polished black, with two
circles buttoned like epaulettes taking the last space
at the edge of its eyes."
14,Violet's Wash,Diane Gilliam Fisher,"You can’t have nothing clean.
I scrubbed like a crazy woman
at Isom’s clothes that first week
and here they come off the line, little black
stripes wherever I’d pinned them up
or hung them over—coal dust settles
on the clothesline, piles up
like a line of snow on a tree branch.
After that, I wiped down the clothesline
every time, but no matter, you can’t
get it all off. His coveralls is stripy
with black and gray lines,
ankles of his pants is ringed around,
like marks left by shackles.
I thought I’d die that first week
when I seen him walk off to the mine,
black, burnt-looking marks
on his shirt over his shoulders, right
where wings would of folded."
15,[We wonder at our shifting capacities . . .],Anna Moschovakis,"We wonder at our shifting capacities, keep
adding and striking skills
from the bottoms of our résumés
under constant revision
like the inscriptions on tombs
shared for generations
unnervingly up
to date

Made nervous by our shift in capabilities, we write:

                                            I visited a country where kittens lay  dying
                                            under every bench, in every gutter, next to
                                            every  cigarette butt. One  made  me  weep.
                                            Two   made   me  worry.  Three   made   me
                                            look  away.  I  visited  a  city  with  very  few
                                            strays.  The   first   one   I   saw   I   adopted.
                                            What  could  it  mean?
                                                                          —posted by Sarah. 6.18.06

Hit “publish” and look away

The New Violence: I visited a country where
everything looked like home"
16,"Archaeopteryx, an Elegy",Gina Franco,"As soon as possible, I will confront the wren’s
              doings, rinse the white streaks from the porch bricks
drawing lizards from their shade, the immediate
              smell of water too much for all of us.
But first is lunch. The remains we’ll scatter over
              the driveway away from the bricks. Wrens come,
crusts from our dishes make drama. Then history.

What is possible in memory is disingenuous.
              Limestone, impressed with the archaic smile
of bone and reptilian wrists, wishbones and feathers,
              describes. It cups the transitional form,
naturally selecting one’s best side. There was
              the time you forgot your legs no longer
could recall how to stand—then rose up straight and sang

               You’ll come a-waltzing Matilda with me

Probably I’ve been thinking of that since August.
              The indelible wrens grate like shovels
outside—exhumed, one voice rises from wilderness,
              echoes,
                            settles, rests
                                          —then another, and,
between them, the keep of an unerring quiet."
17,Classic Toy,Mary M. Brown,"The plastic army men are always green.

 They’re caught in awkward poses,
 one arm outstretched as if to fire,
 legs parted and forever stuck on a swiggle
 of support, as rigid and green as the boots.

 This one has impressions of pockets,
 a belt, a collar, a grip on tiny binoculars
 intended to enlarge, no doubt, some
 tiny enemy.

 In back, attached to the belt is a canteen
 or a grenade (it’s hard to tell). The helmet
 is pulled down low, so as to hide the eyes.

 If I point the arm, the gun, toward me,
 I see that this soldier is very thin.

 It’s almost unreal, how thin he is."
18,Cant,Tyrone Williams,"for Thomas Green Bethune

Thar he blows! Plus, tusks
crushed into grins, grins
host to, guest of, impish

Nature, her fort/da “jewels”
glassified behind blank
opposable pupils—Ahabit perfected

(“perhaps memory”) by/for the dicey
Veil. Auto-didact/-dialectics
staged in rent-to-rent

“crowded houses,” asea to har-har-
poon Terrible Tom’s tom-tom
stutter—VAC  C . Gone

but for “language, music,
imitation and perhaps memory.”
Owns no umbrella to forget to splay

open like a bucket. Can’t cast
down, can’t go singin’ in
the there."
19,Descant,Tyrone Williams,"I left my heart in the teeth of jumper-cables—
black tongue, superfluous nipples . . .

 By The Time I hit the yellow tape—
it was already turning red . . .

Of my fair and alabaster love?
My redundant chains drawn in chalk?

 Halfway to the stars I stopped—
turned, spat—it’s too late, baby . . ."
20,Earth Light: I,Lynn Xu,Doors open and shut. We’ve come to the place where nothing shines. I hear eternity Is self-forgetting.  Interiors warm with the nightmare of guests and poetry And you.  Everything darkly Reverent years of reading about death eluded. Bled Back from the ear sidestepping your bullets bloom in on ye lay Rock.  Rud.  Spread So swiftly tastes like mud.  Dredged mud off The corpse sled hushed down woodsmoke. Said the stars thrum on Marie Marie.  Hold on tight. In the depths of outer space Is man.
21,Lullaby [For Charles Baudelaire],Lynn Xu,"Lie me down to heal in sleep, do not let me wake
In sin, the tongue
Cancels another year, another painted storm
In the coral caves, some pious poet
Drunk on vapors
Swatting tomb-bats in the nightwood, would that
Wayward bark sunned white
Be also thunder, a hill of bones drumming—thud
Thud, a wake
Of buzzards braiding into the loosening skull—the redoubled fists
Of students like an island in the bramble chained—I have been told
To reason, lawless, empty, without rights—
But I am old
Not age, I have been told
To match its columns by our footfall, prophet—I am not
The straw or garland of our Sirens, not the brow
Of holly, nor the warble
Of any lark"
22,Glass was the Street - in Tinsel Peril (1518),Emily Dickinson,"Glass was the Street - in Tinsel Peril
Tree and Traveller stood.
Filled was the Air with merry venture
Hearty with Boys the Road.

Shot the lithe Sleds like Shod vibrations
Emphacized and gone
It is the Past’s supreme italic
Makes the Present mean -"
23,I never hear that one is dead (1325),Emily Dickinson,"I never hear that one is dead
Without the chance of Life
Afresh annihilating me
That mightiest Belief,

Too mighty for the Daily mind
That tilling it’s abyss,
Had Madness, had it once or, Twice
The yawning Consciousness,

Beliefs are Bandaged, like the Tongue
When Terror were it told
In any Tone commensurate
Would strike us instant Dead -

I do not know the man so bold
He dare in lonely Place
That awful stranger - Consciousness
Deliberately face -"
25,The Mushroom is the Elf of Plants - (1350),Emily Dickinson,"The Mushroom is the Elf of Plants -
At Evening, it is not
At Morning, in a Truffled Hut
It stop opon a Spot

As if it tarried always
And yet it’s whole Career
Is shorter than a Snake’s Delay -
And fleeter than a Tare -

’Tis Vegetation’s Juggler -
The Germ of Alibi -
Doth like a Bubble antedate
And like a Bubble, hie -

I feel as if the Grass was pleased
To have it intermit -
This surreptitious Scion
Of Summer’s circumspect.

Had Nature any supple Face
Or could she one contemn -
Had Nature an Apostate -
That Mushroom - it is Him!"
26,A not admitting of the wound (1188),Emily Dickinson,"A not admitting of the wound
Until it grew so wide
That all my Life had entered it
And there were troughs beside -

A closing of the simple lid that opened to the sun
Until the tender Carpenter
Perpetual nail it down -"
27,Broken Sonnet,John Yau,"The world weeps. There are no tears
To be found. It is deemed a miracle.
The president appears on screens
In villages and towns, in cities in jungles
And jungles still affectionately called cities.
He appears on screens and reads a story.
Whose story is he reading and why?
What lessons are to be learned from this story
About a time that has not arrived, will not arrive, is here?
Time of fire and images of fire climbing toward the sun
Time of precious and semi-precious liquids
Time of a man and a woman doused in ink
Rolling across streams and down valleys
Trying to leave some string of words behind."
28,Half Omen Half Hope,Joanna Klink,"When everything finally has been wrecked and further shipwrecked,
When their most ardent dream has been made hollow and unrecognizable,
They will feel inside their limbs the missing shade of blue that lingers
Against hills in the cooler hours before dark, and the moss at the foot of the forest
When green starts to leave it. What they take into their privacy (half of his embrace,
Her violence at play) are shadows of acts which have no farewells in them.
Moons unearth them. And when, in their separate dwellings, their bodies
Feel the next season come, they no longer have anyone to whom
To tell it. Clouds of reverie pass outside the window and a strange emptiness
Peers back in. If they love, it is solely to be adored, it is to scatter and gather
Themselves like hard seeds in a field made fallow by a fire someone years ago set.
In the quiet woods, from the highest trees, there is always something
Weightless falling; and he, who must realize that certain losses are irreparable,
Tells himself at night, before the darkest mirror, that vision keeps him whole.

On the verge of warm and simple sleep they tell themselves certain loves
Are like sheets of dark water, or ice forests, or husks of ships. To stop a thing
Such as this would be to halve a sound that travels out from a silent person’s
Thoughts. The imprint they make on each other’s bodies is worth any pain
They may have caused. Quiet falls around them. And when she reaches
For him the air greens like underwater light and the well-waters drop.
They will see again the shadows of insects.
They will touch the bark and feel each age of the tree fly undisturbed
Into them. If what is no longer present in them cannot be restored,
It can at least be offered. Through long bewildered dusks, stalks grow;
Rains fill and pass out of clouds; animals hover at the edges of fields
With eyes like black pools. For nothing cannot be transformed;
Pleasure and failure feed each other daily. Do not think any breeze,
Any grain of light, shall be withheld. All the stars will sail out for them."
29,Introduction,John Yau,"It had to be from someone whose grandparents were born in Shanghai
not the city’s greatest citizens, but certainly among the sober ones
to make their small now eroded mark
It had to be from a distant or dissolute descendant (yes, moi)
who can sing praises unworthy of even a flicker of your attention

Doesn’t this sound like it might turn into a love poem or a prayer
Well, you are wrong, because a man of the people,
which I am not nor will I ever be,
doesn’t single out one above all others
as this is a hierarchical construction
and therefore undemocratic and antihumanist

It had to be from someone whose virtues do not include stubbornness,
patience, gentleness, loyalty, or truthfulness

It had to be from someone who could take my place
after I left the room
never to return

It had to be from someone who didn’t exist
before this poem
began writing itself down"
30,A Sheaf of Pleasant Voices,John Yau,"There are rooftops
made of cloud remnants

gathered by a trader
dabbling in car parts and burlap

At night, I dive onto the breeze
fermenting above the dirt

and dream that I am a crocodile
a tin of shoe polish, an audience of two

In the morning, before the smallest yawn
becomes a noodle, I am offered

a ribbon of yellow smoke
I opt for fuzzy rocks and clawed water

and, of course, the perishable window
I am one of the last computer

chain errors to be illuminated
I tell you there are rooftops

on which the moon stops
being a cold jewel

And one by one the mountains
begin their descent from

the chambers of a lost book"
31,What Is (War),Joanna Klink,"And if all those who meet or even
hear of you become witness to what you are—

a white country of blight beneath the last snows of
spring. Could we remain quiet on earth

and bear it, the war we make inside
what is—it’s a long time to be here, to be still,

to feel the rot inside now—bone-scrap, char, sheets of stars
at the edge of a field where we are once again

taken from ourselves. Could we remain here,
witness to grief, one last bright dire call-and-reply,

each birdsong or siren extinguished where some
trueness abides, some portion we have lost our right

to claim or know. It comes into any mind that would
perceive it, leaf-rot, speech-rot, the deliberate ribcage

of the deer, these abrupt chalk cliffs over which
the confused animals fling themselves, and you,

obscure, receive no response that is not suffered
as the days grow long and distortions

come to seem the natural course of things—
what trees whose creatures stray into space—

and they find they cannot land though the eyelid
struggles open—no answer, no resolution—

a window opened to the mute green world,
weedy and driftless, a wind drilling rain, dirt,

the parameters of uncertainty, of hope,
what we might be against what we have done,

bees crawling through the lips of the one
who would say the earth turned into sour flesh—

What strange rooms, what soundless movement of sky
over desert where the flesh again is beaten

and the emptiness extends itself while some old man
looks on, a raptor in waiting, the sand-field

around them blown thinly toward sun—no longer
ourselves in the afternoons, evenings,

weak, vague, clutched at the mouth—
because we did nothing, because we lost count."
32,Apology,Joanna Klink,"Lately, too much disturbed, you stay trailing in me
and I believe you. How could I not feel
you were misspent, there by books stacked clean on glass,
or outside the snow arriving as I am still arriving.
If the explanations amount to something, I will tell you.
It is enough, you say, that surfaces grow so distant.
Maybe you darken, already too much changed,
maybe in your house you would be content where
no incident emerges, but for smoke or glass or air,
such things held simply to be voiceless.
And if you mean me, I believe you.
Or if you should darken, this inwardness would be misspent,
and flinching I might pause, and add to these meager
incidents the words. Some books
should stay formal on the shelves.
So surely I heard you, in your complication aware,
snow holding where it might weightless rest,
and should you fold into me—trackless, misspent,
too much arranged—I might believe you
but swiftly shut, lines of smoke rising through snow,
here where it seems no good word emerges.
Though it is cold, I am aware such reluctance
could lose these blinking hours to simple safety.
Here is an inwardless purpose.
In these hours when snow shuts, it may be we empty,
amounting to something. How could I not
wait for those few words, which we might enter."
33,Auroras,Joanna Klink,"It began in a foyer of evenings
The evenings left traces of glass in the trees
A book and a footpath we followed
Under throat-pipes of birds

We moved through a room of leaves
Thin streams of silver buried under our eyes
A field of white clover buried under our eyes
Or a river we stopped at to watch
The wind cross it, recross it

Room into room you paused
Where once on a stoop we leaned back
Talking late into daylight
The morning trees shook off twilight
Opening and closing our eyes auroras

Beyond groves and flora we followed a road
Dotted with polished brown bottles,
Scoured furrows, a wood emptied of trees

It was enough to hollow us out
The evenings left grasses half-wild at our feet
Branches with spaces for winds

The earth changes
The way we speak to each other has changed
As for a long while we stood in a hall full of exits
Listening for a landscape beyond us"
34,Compound Hibernation,Will Alexander,"Those who glance about me
who cease to see inside the Sun
who cease to imagine its destabilized pre-quanta
cannot know me
cannot know my ethos as pumice
as mingled apparition or flare

my perception through the prior sun that I ingest
like a blackened pre-existence
or collected hawks through assignation

the Sun
with its dualisms
with its pre-biotic photons which waver

perhaps
9 suns before the Sun existed
before the oceans seemed formed
there were molecular drafts

akashic precursors
floating proto-ammonia

I think of carbon
& wisps
& floodings

of feral combat shelter
where blank geometry accrues

before separable biology was born
before the contradictory ballast of de-existent protozoa

being scorching photon by abstentia
like a pre-atomic sigil
destabilized as blizzard

a pre-cognitive rotation
a strange galvanics of the cosmos

& because of this galvanics
one reeks of invisible tremor
walking around in league with daunting helium affliction

thus
the mirrors in my skin like haunted salamander fluid
like cells bereft with cooling centigrade rotation

therefore
I know the abyss as volatile lunar transposition
as sub-liminal mantis as climbing
as splintering

therefore I am not
an oily or blasphemous yogin
collapsing in default by sudden anger or water

yet I am compound
struggling with scattered mental a-rhythmia
with partial psychic aphasia
intensive
illusive
aloof by interior compounding"
35,Thought Experiment: Mary in the Black-and-White Room*,Anna Moschovakis,"Some things lock in competition, like an earthquake and a kiss. While a decision is waiting to be made, neither side of the argument progresses. The earthquake, though eager to prove its claim, shows valiant restraint; the kiss? It knows the power of bitten tongues.
 

Such stand-offs as these precede most gains (stance of knowing too much and fearing too late). The tongues, shaking along with the house, say nothing shattering at all.
 

With progress, not only earthquakes but kisses will be predicted. The last fine line between feeling and fact will choose a good point, and end. Flattery will continue to make us immortal in the difficult years between the first word and the lost.

 

* In which Mary, herself a palette of grays, inhabitant of a universe void of color, gains access to the complete scientific story of what makes red red—and reads it."
36,Thought Experiment: Twin Earth and the Glass of Water*,Anna Moschovakis,"That was the day your mesmerized went awol on the shore. Each star, you said, was the same star. Beneath our sunny beach blanket an anonymous moisture spread like fur. It’s getting dark and darker.
 

Dusk is hard. Gossip travels worst when it’s low-contrast out; it stalls, and the air begins to crack. Droplets black as blood squeeze through fissures, making night.
 

What came from above—the forestscan, the cornucump, the mar—came violently on our feet. Finally, when it was time to order, you pulled yourself up from the syntax we’d shared and beckoned for me to come. It’s just like rain, I said, as if to make amends. Every arm is the same arm, you replied, and took mine.

 


* In which an unwitting traveler to a parallel universe, offered trum and toke all night, drinks himself out of his depth to drown the unknown source of his discomfort."
38,Auto-Lullaby,Franz Wright,"Think of   a sheep
knitting a sweater;
think of   your life
getting better and better.

Think of   your cat
asleep in a tree;
think of   that spot
where you once skinned your knee.

Think of   a bird
that stands in your palm.
Try to remember
the Twenty-first Psalm.

Think of   a big pink horse
galloping south;
think of   a fly, and
close your mouth.

If   you feel thirsty, then
drink from your cup.
The birds will keep singing
until they wake up."
39,Best Laid,Maureen N. McLane,"it’s clear 
the wind
won’t let up 
and a swim’s out — 
what you planned
is scotched.
forget the calls,
errands at the mall —
yr resolve’s
superfluous
as a clitoris.
how miraculous
the gratuitous —
spandrels,
cathedrals. 
on a sea
of necessity
let’s float
wholly 
unnecessary
& call
that free"
40,A Boat,Richard Brautigan,"O beautiful
was the werewolf
in his evil forest.
We took him
to the carnival
and he started
     crying
when he saw
the Ferris wheel.
Electric
green and red tears
flowed down
his furry cheeks.
He looked
like a boat
out on the dark
water."
41,Burn Lake,Carrie Fountain,"For Burn Construction Company

When you were building the i-10 bypass, 
one of   your dozers, moving earth 
at the center of a great pit, 
slipped its thick blade beneath 
the water table, slicing into the earth’s 
wet palm, and the silt moistened 
beneath the huge thing’s tires, and the crew 
was sent home for the day. 
Next morning, water filled the pit. 
Nothing anyone could do to stop it coming. 
It was a revelation: kidney-shaped, deep 
green, there between the interstate 
and the sewage treatment plant. 
When nothing else worked, you called it 
a lake and opened it to the public. 
And we were the public."
43,Doors,Carl Sandburg,"An open door says, “Come in.”
A shut door says, “Who are you?”
Shadows and ghosts go through shut doors.
If   a door is shut and you want it shut,
     why open it?
If   a door is open and you want it open,
     why shut it?
Doors forget but only doors know what it is
     doors forget."
44,Every Day a Shiny Bright New Day,Maureen N. McLane,"it’s good not to drink
it’s good not to piss
in the sink & it’s good
not to think

the clarion ring
of   a glass clinking
with ice good to hear it
fade into a past
you can’t sing

your dumb blues
is over. admit
it was always
borrowed. you paid
no dues you did
no time

but the time spent
sodden. what you thought
I think. your 
higher power’s
drunk. god’s
the biggest alky
in the sky

the clouds are whiskey
sours passing by"
45,Forecast,Eliza Griswold,"The pack is filing 
from my nowheresvilles
filling the halfway hotels, 
braving the ruts and calling 
one another via satellite. 
A dollar says hello.

At home I try growing
a new life, one of many 
women bored by 
my womb’s mystery. 

Who has time 
to run a thumb 
between her legs
and calculate 
the temperature —
chipper and bitter
netherworld weathergirl."
46,From “Bestiary”,Sherman Alexie,"My mother sends me a black-and-white
photograph of   her and my father, circa
1968, posing with two Indian men.

“Who are those Indian guys?” I ask her
on the phone.

“I don’t know,” she says.

The next obvious question: “Then why
did you send me this photo?” But I don’t
ask it.

One of those strange Indian men is
pointing up toward the sky.

Above them, a bird shaped like a
question mark."
47,From the Middle,Katharine Coles,"How much of everything is pure
Getting ready. Dressing, pushing the button
Asquint through its machined furl
Only to unbutton, the eyes-open moment

Revealed. Ask any animal: nudity isn’t
The same as nakedness. Once you’ve seen
A dangling, you can’t unsee it, and
From that anything might ensue.

There’s the rub. Taking the long view
You could say the future is romantic
I suppose. Also something you
Could never do without, though its bric-

a-brac is purely theoretical, until
It’s arranged. Or not. Then, a miracle?"
48,In the Low Countries,Stuart Mills,"They are building a ship
in a field
much bigger than I should have thought
sensible.
When it is finished
there will never be enough of them
to carry it to the sea
and already it is turning
rusty."
49,“Knocks on the door”,Maram Al-Massri,"Knocks on the door.
Who?
I sweep the dust of my loneliness
under the rug.
I arrange a smile
and open."
50,Lisbon,Eliza Griswold,"We meet midway to walk white cobbles 
under a fish-flesh gray sky. 
Europe is collapsing; we are collapsing

always and again no matter how hard
we love one another. I don’t understand 
our failure, where the feed loops 

back and spits us into another country, 
another junior suite reenacting this same,
same beat of   a scene that begins, rises,

never ends, always ends —
Our intentions don’t meet, 
their courses set differently 

by a force you don’t believe in,
could be as simple as life. I want 
to be the wife you don’t want. 

You won’t let go of my wrist. 
I resist, threaten, bully, acquiesce. 
We write the next act of The Alchemist

in New York, Lisbon, a beach, 
a bar, star-crossed maybe 
from different galaxies. You approach, 

I retreat. You retreat, I reproach.
The manic two-step jitters 
over North Africa’s dunes 

farther than our hero, Santiago, can see. 
I rise in the night to find the sharp knife
that came with the pears as a courtesy."
51,Milton’s God,Nate Klug,"Where i-95 meets the Pike, 
a ponderous thunderhead flowered;

stewed a minute, then flipped
like a flash card, tattered
edges crinkling in, linings so dark 
with excessive bright

that, standing, waiting, at the overpass edge, 
the onlooker couldn’t decide

until the end, or even then,
what was revealed and what had been hidden."
53,Monsters,Dorothea Lasky,"This is a world where there are monsters
There are monsters everywhere, racoons and skunks
There are possums outside, there are monsters in my bed.
There is one monster. He is my little one.
I talk to my little monster.
I give my little monster some bacon but that does not satisfy him.
I tell him, ssh ssh, don’t growl little monster!
And he growls, oh boy does he growl!
And he wants something from me,
He wants my soul.
And finally giving in, I give him my gleaming soul
And as he eats my gleaming soul, I am one with him
And stare out his eyepits and I see nothing but white
And then I see nothing but fog and the white I had seen before was nothing but fog
And there is nothing but fog out the eyes of monsters."
54,“My hat”,Henry Parland,"My hat
was run over
by a trolley
yesterday.
This morning
my coat took a walk
to some place
far away.
This afternoon
my shoes
happened to get assassinated.
— I’m still here?
that’s just
i t."
55,Nocturne,W. S. Di Piero,"Where are you now,
my poems, 
my sleepwalkers?
No mumbles tonight?
Where are you, thirst,
fever, humming tedium?
The sodium streetlights 
burr outside my window, 
steadfast, unreachable, 
little astonishments 
lighting the way uphill.
Where are you now,
when I need you most?
             It’s late. I’m old. 
                         Come soon, you feral cats 
                                      among the dahlias."
56,Observer,Nate Klug,"Not seeing me, not even looking, 
K. on her silver cruiser charms her way

through the last long moment 
of   the changing light: 

snow boots and a Seychelles Warbler’s 
old blue tights,

a rolled-up yoga mat in her basket
wobbling like a wild tiller as she pedals. 

It feels illicit and somewhat right 
to stand across the intersection 

without shouting 
her name, or even waving.

According to the internet
tutorial, the fact that photons 

turn into tiny loyal billiard balls
as soon as we start watching suggests

no error of method 
or measurement, but rather, 

as far as anyone can tell, 
an invisibly unstable world, 

a shaking everywhere 
that seeing must pin down and fix.

So, that morning I stumbled on you
out, alone, bending through

the traffic at Orange and Edwards Streets:
a someone else then 

whom I, alone, 
can never otherwise see —

there has to be a kind of   speech
beyond naming, or even praise,

a discipline 
that locates light and lets it go."
57,The One About the Robbers,Zachary Schomburg,"You tell me a joke about two robbers who hide from the police. One robber hides as a sack of cats and the other robber hides as a sack of potatoes. That is the punch line somehow, the sack of potatoes, but all I can think about is how my dad used to throw me over his shoulder when I was very small and call me his sack of potatoes. I’ve got a sack of potatoes he would yell, spinning around in a circle, the arm not holding me reaching out for a sale. Does anyone want to buy my sack of potatoes? No one ever wanted to buy me. We were always the only two people in the room."
