,Title,Poet,Poem
11,The Beggars,Margaret Widdemer,"The little pitiful, worn, laughing faces, 
Begging of Life for Joy!

I saw the little daughters of the poor, 
Tense from the long day's working, strident, gay, 
Hurrying to the picture-place. There curled 
A hideous flushed beggar at the door, 
Trading upon his horror, eyeless, maimed, 
Complacent in his profitable mask. 
They mocked his horror, but they gave to him 
From the brief wealth of pay-night, and went in 
To the cheap laughter and the tawdry thoughts 
Thrown on the screen; in to the seeking hand 
Covered by darkness, to the luring voice 
Of Horror, boy-masked, whispering of rings, 
Of silks, of feathers, bought—so cheap!—with just 
Their slender starved child-bodies, palpitant 
For Beauty, Laughter, Passion, that is Life: 
(A frock of satin for an hour's shame, 
A coat of fur for two days' servitude; 
“And the clothes last,” the thought runs on, within 
The poor warped girl-minds drugged with changeless days; 
“Who cares or knows after the hour is done?”)
—Poor little beggars at Life's door for Joy! 
The old man crouched there, eyeless, horrible, 
Complacent in the marketable mask 
That earned his comforts—and they gave to him!

But ah, the little painted, wistful faces 
Questioning Life for Joy!"
12,Beginnings,Jeffrey Greene,"National Museum of Scotland

On the ground floor called ""Beginnings,"" 
a fertility stone is displayed  
in the diamond-hard blue halogen,  
a line etching of an erection  
with two equal circles, as one sees  
in graffitti in the Underground.  
The stone is attributed to the Picts,  
of whom history says little,  
besides the Latin picti,  
painted people, tattooed.  
When set side by side  
with Latin engravings  
and Roman military hardware,  
the artifact makes them  
seem pitiful. In the museum  
you rise through time,  
the text written in first  
person plural as if all  
who enter are complicitous  
with the articles of defiance,  
Robert the Bruce, the long  
unveering heredity of defeat,  
the room of thumbscrews  
and ""The Maiden"" for severing  
heretical heads of witches,  
upward to the Reformation,  
then the rout of the Highlanders  
and the exile of the Bonnie Prince,  
until the museum seems  
like a deep well where  
the fertility stone  
of the painted people  
rests at its bottom,  
universal hieroglyph  
on which someone made a wish."
13,Bel Canto,Kenneth Koch,"The sun is high, the seaside air is sharp, 
And salty light reveals the Mayan School. 
The Irish hope their names are on the harp, 
We see the sheep's advertisement for wool, 
Boulders are here, to throw against a tarp, 
From which comes bursting forth a puzzled mule. 
Perceval seizes it and mounts it, then 
The blood-dimmed tide recedes and then comes in again. 

Fateful connections that we make to things 
Whose functioning's oblivious to our lives! 
How sidewise news of light from darkness springs, 
How blue bees buzz from big blooms back to hives 
And make the honey while the queen bee sings 
Leadbelly in arrangements by Burl Ives— 
How long ago I saw the misted pine trees 
And hoped, no matter how, to get them into poetry! 

Stendhal, at fifty, gazing as it happened 
On Rome from the Janiculum, decided 
That one way he could give his life a stipend 
Was to suspend his being Amour's fighter 
And get to know himself. Here he had ripened 
Accomplished, loved, and lived, was a great writer 
But never had explored in true detail 
His childhood and his growing up. So he set sail 

Composing La Vie de Henry Brulard 
But in five hundred pages scarcely got 
Beyond his seventeenth year, for it is hard 
To take into account what happens here 
And fit it all onto an index card. 
Even one moment of it is too hot, 
Complex and cannibalistically connected 
To every other, which is what might be expected. 

Sterne's hero has a greater problem, never 
Getting much past his birth. I've had a third one. 
My autobiography, if I should ever 
Start out to write it, quickly seems a burden 
An I-will-do-that-the-next-time endeavor. 
Whatever life I do write's an absurd one 
As if some crazy person with a knife 
Cut up and made a jigsaw puzzle of a life. 

In any case a life that's hardly possible 
In the conditions that we really live in, 
Where easy flying leaps to inaccessible 
Mountainy places where love is a given 
And misery, if there, infinitesimal, 
Are quite the norm. Here none by pain is driven 
That is not curable by the romanza 
That's kept in readiness to finish any stanza. 

Whatever, then, I see at this late stage of 
My life I may or may not have stayed ignorant 
Of that great book I've strained to write one page of 
Yet always hoping my page was significant. 
Be it or not, for me and for the ages 
I leave it as it is. Yet as a figurant 
Who has not stopped, I'm writing in addition 
More lines to clarify my present disposition. 

One person in a million finds out something 
Perhaps each fifty years and that is knowledge. 
Newton, Copernicus, Einstein are cunning. 
The rest of us just rise and go to college 
With no more hope to come home with the bunting 
Than a stray dachshund going through the village. 
However, what a treat our small successes 
Of present and of past, at various addresses! 

To be in all those places where I tarried 
Too little or too late or bright and early 
To love again the first woman I married 
To marvel at such things as melancholy, 
Sophistication, drums, a baby carriage, 
A John Cage concert heard at Alice Tully— 
How my desire when young to be a poet 
Made me attentive and oblivious every moment! 

Do you remember Oceanview the Fair? 
The heights above the river? The canoes? 
The place we beached them and the grass was bare? 
Those days the sandbars gave our knees a truce? 
The crooked line of pantry shelves, with pear 
And cherry jam? And Pancho, with his noose? 
Do you remember Full and Half and Empty? 
Do you remember sorrow standing in the entry? 

Do you remember thought, and talking plainly? 
Michel and I went walking after Chartres 
Cathedral had engaged our spirits mainly 
By giving us an insight into Barthes. 
Michel said he was capable of feigning 
Renewed intentions of the soul's deep part, 
Like this cathedral's artificial forces 
That press a kind of artless thought into our faces. 

And yet—   The moor is dark beneath the moon. 
The porcupine turns over on its belly 
And new conceptions rap at the cocoon. 
Civilization, dealing with us fairly, 
For once, releases its Erectheion 
Of understanding, which consoles us, nearly. 
Later we study certain characteristics 
That may give us a better chance with the statistics. 

How much I'd like to live the whole thing over, 
But making some corrections as I go! 
To be a better husband and a father, 
Be with my babies on a sled in snow. 
By twenty I'd have understood my mother 
And by compassion found a way to know 
What separates the what-I-started-out-as 
From what-I-sometimes-wished-I-was-when-in-the-mountains. 

To be once more the one who what was worthy 
Of courtship courted—it was quite as stressful 
As trying to, er, as they say, give birth to 
A poem and as often unsuccessful, 
But it was nice to be sublime and flirty 
With radiant girls, and, in some strange way, restful. 
I could be everything I wasn't usually— 
And then to get somebody else to feel it mutually! 

In poems the same problem or a similar. 
Desire of course not only to do old things 
But things unheard of yet by nuns or visitors 
And of the melancholy finch be co-finch 
In singing songs with such a broad parameter 
That seamstresses would stare, forget to sew things, 
Astronauts quit the sky, athletes the stadium 
To hear them, and the rest of what they hear be tedium. 

Such wild desires, I think it's recognizable 
Are part and parcel of the Human Image 
And in a way, I'd say, no less predictable 
Than Popeye's feelings for a can of spinach. 
Yet if we're set on course by the Invisible, 
All pre-determined, what about the language 
That teases me each morning with its leanings 
Toward the Unprogrammed Altitudes beyond its meanings? 

Are you, O particles, O atoms, nominatives 
Like Percevals and Stendhals, set in motion 
By some Ordaining Will that is definitive? 
Is this invading chill and high emotion, 
This tendency to know one is regenerative, 
Is this, all, tidal take-home like the ocean? 
Be what you may, my thanks for your society 
Through the long life I've had, your jokes and your variety, 

The warmth you've shown in giving me a temperature 
That I can live with, and the strength you've shared with me 
In arms and legs—and for your part in literature, 
What can I say? It is as if life stared at me 
And kissed my lips and left it as a signature. 
Thank you for that, and thank you for preparing me 
For love itself, and friendship, its co-agent. 
Thank you for being this, and for its inspiration."
14,Bernal Hill,Randall Mann,"Something has to give. 
We stand above it all. 
Below, the buildings' tall 
but tiny narrative. 

The water's always near, 
you say. And so are you, 
for now. It has to do. 
There's little left to fear. 

A wind so cold, one might 
forget that winter's gone. 
The city lights are on 
for us, to us, tonight."
15,BETTER DAYS,A. F. Moritz,"Never anymore in a wash of sweetness and awe  
does the summer when I was seventeen come back  
to mind against my will, like a bird crossing  

my vision. Summer of moist nights full of girls  
and boys ripened, holy drunkenness and violation  
of the comic boundaries, defiances that never  

failed or brought disaster. Days on the backs  
and in the breath of horses, between rivers  
and pools that reflected the cicadas' whine,  

enervation and strength creeping in smooth waves  
over muscular water. All those things accepted,  
once, with unnoticing hunger, as an infant  

accepts the nipple, never come back to mind  
against the will. What comes unsummoned now,  
blotting out every other thought and image,  

is a part of the past not so deep or far away:  
the time of poverty, of struggle to find means  
not hateful—the muddy seedtime of early manhood.  

What returns are those moments in the diner  
night after night with each night's one cup of coffee,  
watching an old man, who always at the same hour  

came in and smiled, ordered his tea and opened  
his drawing pad. What did he fill it with?  
And where's he gone? Those days, that studious worker,  

hand moving and eyes eager in the sour light,  
that artist always in the same worn-out suit,  
are my nostalgia now. That old man comes back,  

the friend I saw each day and never spoke to,  
because I hoped soon to disappear from there,  
as I have disappeared, into the heaven of better days."
16,Between Hallowe'en and Bonfire Night,Roddy Lumsden,"Just then, encountering my ruddy face    
in the grand piano's cold black craquelure,    
it conjured the jack-o'-lantern moon    
dipping up over the roofs of the Tenderloin.    
    
Only when I have done with the myths—    
the inner spill that triggers us to flame,    
breasts so sensitive a moment's touch             
will call down fever; the dark sea-lane    
    
between limbic squall and the heart's harbour—    
will I picture you, just beyond innocence,    
lying stripped by a thrown-wide window,    
letting the cool breeze covet your ardour."
17,Beyond the Stars,Charles Hanson Towne,"Three days I heard them grieve when I lay dead, 
(It was so strange to me that they should weep!) 
Tall candles burned about me in the dark, 
And a great crucifix was on my breast, 
And a great silence filled the lonesome room. 

I heard one whisper, ""Lo! the dawn is breaking, 
And he has lost the wonder of the day."" 
Another came whom I had loved on earth, 
And kissed my brow and brushed my dampened hair. 
Softly she spoke: ""Oh that he should not see 
The April that his spirit bathed in! Birds 
Are singing in the orchard, and the grass 
That soon will cover him is growing green. 
The daisies whiten on the emerald hills, 
And the immortal magic that he loved 
Wakens again—and he has fallen asleep."" 
Another said: ""Last night I saw the moon 
Like a tremendous lantern shine in heaven, 
And I could only think of him-and sob. 
For I remembered evenings wonderful 
When he was faint with Life's sad loveliness, 
And watched the silver ribbons wandering far 
Along the shore, and out upon the sea. 
Oh, I remembered how he loved the world, 
The sighing ocean and the flaming stars, 

The everlasting glamour God has given— 
-His tapestries that wrap the earth's wide room. 
I minded me of mornings filled with rain 
When he would sit and listen to the sound 
As if it were lost music from the spheres. 
He loved the crocus and the hawthorn-hedge, 
He loved the shining gold of buttercups, 
And the low droning of the drowsy bees 
That boomed across the meadows. He was glad 
At dawn or sundown; glad when Autumn came 
With her worn livery and scarlet crown, 
And glad when Winter rocked the earth to rest. 
Strange that he sleeps today when Life is young, 
And the wild banners of the Spring are blowing 
With green inscriptions of the old delight."" 

I heard them whisper in the quiet room. 
I longed to open then my sealèd eyes, 
And tell them of the glory that was mine. 
There was no darkness where my spirit flew, 
There was no night beyond the teeming world. 
Their April was like winter where I roamed; 
Their flowers were like stones where now I fared. 
Earth's day! it was as if I had not known 
What sunlight meant! . . Yea, even as they grieved 
For all that I had lost in their pale place, 
I swung beyond the borders of the sky, 
And floated through the clouds, myself the air, 

Myself the ether, yet a matchless being 
Whom God had snatched from penury and pain 
To draw across the barricades of heaven. 
I clomb beyond the sun, beyond the moon; 
In flight on flight I touched the highest star; 
I plunged to regions where the Spring is born, 
Myself (I asked not how) the April wind, 
Myself the elements that are of God. 
Up flowery stairways of eternity 
I whirled in wonder and untrammeled joy, 
An atom, yet a portion of His dream— 
His dream that knows no end. . . . 
                                                         I was the rain, 
I was the dawn, I was the purple east, 
I was the moonlight on enchanted nights, 
(Yet time was lost to me); I was a flower 
For one to pluck who loved me; I was bliss, 
And rapture, splendid moments of delight; 
And I was prayer, and solitude, and hope; 
And always, always, always I was love. 
I tore asunder flimsy doors of time, 
And through the windows of my soul's new sight 
I saw beyond the ultimate bounds of space. 
I was all things that I had loved on earth— 
The very moonbeam in that quiet room, 
The very sunlight one had dreamed I lost, 
The soul of the returning April grass, 
The spirit of the evening and the dawn, 
The perfume in unnumbered hawthorn-blooms. 
There was no shadow on my perfect peace, 
No knowledge that was hidden from my heart. 
I learned what music meant; I read the years; 
I found where rainbows hide, where tears begin; 
I trod the precincts of things yet unborn. 

Yea, while I found all wisdom (being dead), 
They grieved for me. . I should have grieved for them!"
18,Body,Alissa Valles,"Map of terror and pleasure,
ardent junk, passionate congress
filled with the arguments of chemicals,

Echo chamber for the fanatical cries
of stubborn generations, all the quaint invisibles
death has grown a beard on,

labyrinth of desire, playing field of impulse,
factory where decay's silent armies clock in,
philosopher-clown blowing a horn at each epiphany.

Washed by the rough nurse of morning,
wheeled into the ward of the afternoon,
feeds, grateful, on the rich broth of dusk.

Reads the erratic cards of dreams,
turns on the rack of insomnia,
steals the two-bit grace of sleep.

Loses its name in foreign embraces,
forges a passport to the country of tenderness,
gestures like a child at the thing that it wants,
opaque from its own breath on the glass."
19,Body and Soul,Sharon Bryan,"They grow up together 
but they aren't even fraternal 

twins, they quarrel a lot 
about where to go and what 

to do, the body complains 
about having to carry 

the soul everywhere as if 
it were some helpless cripple, 

and the soul snipes that it can go 
places the body never dreamed of, 

then they quarrel over which one of them 
does the dreaming, but the truth is, 

they can't live without each other and 
they both know it, anima, animosity, 

the diaphragm pumps like a bellows 
and the soul pulls out all the stops— 

sings at the top of its lungs, laughs 
at its little jokes, it would like 

to think it has the upper hand 
and can leave whenever it wants— 

but only as long as it knows 
the door will be unlocked 

when it sneaks back home before 
the sun comes up, and when the body 

says where have you been, the soul 
says, with a smirk, I was at the end 

of my tether, and it was, like a diver 
on the ocean floor or an astronaut 

admiring the view from outside 
the mother ship, and like them 

it would be lost without its air 
supply and protective clothing, 

the body knows that and begins 
to hum, I get along without you 

very well, and  the soul says, Listen 
to that, you can't sing worth a lick 

without me, they'll go on bickering 
like this until death do them part— 

and then, even if the soul seems to float 
above the body for a moment, 

like a flame above a candle, pinch 
the wick and it disappears."
20,A Book on a Shelf,Roger Mitchell,"A history of some sort, one that made us, 
a war and what the war had meant, or since 
meaning eludes war, what it did to the look 
of the trees and the sides of the buildings, 
most of which survived, only to be torn down 
later to widen the street or put up a new 
office complex. There it was on the shelf. 
I was there only a moment, but still, 
I wanted to know what happened to the man 
in the photograph wearing a flat cap 
standing outside the important building 
cheering. He was there. He was part of that 
moment, one of the first into the streets 
when the turn of events came, the declaration 
or pronouncement, words that would change 
the look of everything he smiled on, words 
that may have cost him his life. Here it is 
in a book I found on a shelf. The person 
who lives here bought it at a library 
stock reduction sale. No one had read it. 
It looked interesting thirty years ago. 
It was practically new, the back uncracked. 
But the person did what those before her had, 
put it up on a shelf and never found 
a way back to it. The history sits there, 
unread, unbelievable, somebody else's. 
Even I have only looked at the pictures, 
at the man smiling between the cold pages. 
Maybe ending the world as he knew it 
was ok. Maybe it was the only way. 
Maybe the world has to come to an end 
in the first place to be the world. And the man? 
He has to smile, though he knows so little 
of what's coming, even looking right at it. 
As we do, who still haven't read the book."
21,Breakage,Mary Oliver,"I go down to the edge of the sea. 
How everything shines in the morning light! 
The cusp of the whelk, 
the broken cupboard of the clam, 
the opened, blue mussels, 
moon snails, pale pink and barnacle scarred— 
and nothing at all whole or shut, but tattered, split, 
dropped by the gulls onto the gray rocks and all the moisture gone. 
It's like a schoolhouse 
of little words, 
thousands of words. 
First you figure out what each one means by itself, 
the jingle, the periwinkle, the scallop 
       full of moonlight. 

Then you begin, slowly, to read the whole story."
22,Cabezón,Amy Beeder,"I see you shuffle up Washington Street
whenever I am driving much too fast:
you, chub & bug-eyed, jaw like a loaf
hands in your pockets, a smoke dangling slack
from the slit of your pumpkin mouth,
humped over like the eel-man or geek,
the dummy paid to sweep out gutters,

drown the cats. Where are you going now?
Though someday you'll turn your gaze
upon my shadow in this tinted glass
I know for now you only look ahead
at sidewalks cracked & paved with trash
but what are you slouching toward—knee-locked,
hippity, a hitch in your zombie walk, Bighead?"
23,Call It Music,Philip Levine,"Some days I catch a rhythm, almost a song  
in my own breath. I'm alone here  
in Brooklyn Heights, late morning, the sky  
above the St. George Hotel clear, clear  
for New York, that is. The radio playing  
""Bird Flight,"" Parker in his California  
tragic voice fifty years ago, his faltering  
""Lover Man"" just before he crashed into chaos.  
I would guess that outside the recording studio  
in Burbank the sun was high above the jacarandas,  
it was late March, the worst of yesterday's rain  
had come and gone, the sky washed blue. Bird  
could have seen for miles if he'd looked, but what  
he saw was so foreign he clenched his eyes,  
shook his head, and barked like a dog—just once—  
and then Howard McGhee took his arm and assured him  
he'd be OK. I know this because Howard told me  
years later that he thought Bird could  
lie down in the hotel room they shared, sleep  
for an hour or more, and waken as himself.  
The perfect sunlight angles into my little room  
above Willow Street. I listen to my breath  
come and go and try to catch its curious taste,  
part milk, part iron, part blood, as it passes  
from me into the world. This is not me,  
this is automatic, this entering and exiting,  
my body's essential occupation without which  
I am a thing. The whole process has a name,  
a word I don't know, an elegant word not  
in English or Yiddish or Spanish, a word  
that means nothing to me. Howard truly believed  
what he said that day when he steered  
Parker into a cab and drove the silent miles  
beside him while the bright world  
unfurled around them: filling stations, stands  
of fruits and vegetables, a kiosk selling trinkets  
from Mexico and the Philippines. It was all  
so actual and Western, it was a new creation  
coming into being, like the music of Charlie Parker  
someone later called ""glad,"" though that day  
I would have said silent, ""the silent music  
of Charlie Parker."" Howard said nothing.  
He paid the driver and helped Bird up two flights  
to their room, got his boots off, and went out  
to let him sleep as the afternoon entered  
the history of darkness. I'm not judging  
Howard, he did better than I could have  
now or then. Then I was 19, working  
on the loading docks at Railway Express,  
coming day by day into the damaged body  
of a man while I sang into the filthy air  
the Yiddish drinking songs my Zadie taught me  
before his breath failed. Now Howard is gone,  
eleven long years gone, the sweet voice silenced.  
""The subtle bridge between Eldridge and Navarro,""  
they later wrote, all that rising passion  
a footnote to others. I remember in '85  
walking the halls of Cass Tech, the high school  
where he taught after his performing days,  
when suddenly he took my left hand in his  
two hands to tell me it all worked out  
for the best. Maybe he'd gotten religion,  
maybe he knew how little time was left,  
maybe that day he was just worn down  
by my questions about Parker. To him Bird  
was truly Charlie Parker, a man, a silent note  
going out forever on the breath of genius  
which now I hear soaring above my own breath  
as this bright morning fades into afternoon.  
Music, I'll call it music. It's what we need  
as the sun staggers behind the low gray clouds  
blowing relentlessly in from that nameless ocean,  
the calm and endless one I've still to cross."
24,Candles,Carl Dennis,"If on your grandmother's birthday you burn a candle   
To honor her memory, you might think of burning an extra   
To honor the memory of someone who never met her,   
A man who may have come to the town she lived in   
Looking for work and never found it.   
Picture him taking a stroll one morning,   
After a month of grief with the want ads,   
To refresh himself in the park before moving on.   
Suppose he notices on the gravel path the shards   
Of a green glass bottle that your grandmother,   
Then still a girl, will be destined to step on   
When she wanders barefoot away from her school picnic   
If he doesn't stoop down and scoop the mess up   
With the want-ad section and carry it to a trash can.   

For you to burn a candle for him   
You needn't suppose the cut would be a deep one,   
Just deep enough to keep her at home   
The night of the hay ride when she meets Helen,   
Who is soon to become her dearest friend,   
Whose brother George, thirty years later,   
Helps your grandfather with a loan so his shoe store   
Doesn't go under in the Great Depression   
And his son, your father, is able to stay in school   
Where his love of learning is fanned into flames,   
A love he labors, later, to kindle in you.   

How grateful you are for your father's efforts   
Is shown by the candles you've burned for him.   
But today, for a change, why not a candle   
For the man whose name is unknown to you?   
Take a moment to wonder whether he died at home   
With friends and family or alone on the road,   
On the look-out for no one to sit at his bedside   
And hold his hand, the very hand   
It's time for you to imagine holding."
26,Careless Perfection,Daniel Halpern,"According to Lin Yutang,
both Po Chuyi and Su Tungpo
""desperately admired"" Tao Yuanming,

a poet of nature who wrote a single love poem,
a poem thought by Chinese dilettantes to be
the one ""blemish in a white jade.""

Can a poet be faulted for calling a woman
 carelessly perfect in beauty?
He chose to long for her by envying

the candle that glowed upon her
beautiful face, the shadow
that followed in her every move.

Yet the nature poet Tao Yuanming, at home
with the sudden turning of seasons,
now feared the shadow in darkness,

a discarded fan that once stirred her hair,
feared the candle at dawn. At last believed
that for beauty he had lived in vain."
27,Casanova's Bossa Nova,Rich Murphy,"The dance shoes, seduction 
and coercion, owned by male feet, 
roam floors that beg for chandeliers. 
In search of flat-footed beauty 

and a bed, where ever they might be, 
the handsome conversation attracts 
female followers trading on the smiles 
of curves. The next steps are dizzying 

and leave dresses dipped and hung over 
with a purse and heart opened at 
their tops. The wallflowers can't say 
when the tango with the rag doll began, 

but witnesses toasted a conga line 
of would-be brides that transcend 
a retirement community in Florida, 
each giving up their precious moments 

on Earth to fandango's flimflam."
28,A CAVE OF ANGELFISH HUDDLE AGAINST THE MOON,Ron De Maris,"Put an ear to the light at fall
of dark and you will hear
nothing. This pale luminescence
that drifts in upon them
makes a blue bole of their caves,
a scare of their scything
tails. They tell
in the bubbling dark of images
that come in upon them
when light spreads like an oil slick
and sea fans
that once were their refuge
turn away.
Now there is no dark
dark enough for their silver tails,
scatter of color
(like coins massively
piling in the lap of a miser)
that was, in the day, their pride.
 How hugely here we belong.
This is their song
in the silting
drift of the reef.
They have never seen the moon
nor the black scut of night, stars
spread like plankton
in their beastly infinities."
29,Chamber Thicket,Sharon Olds,"As we sat at the feet of the string quartet,  
in their living room, on a winter night,  
through the hardwood floor spurts and gulps  
and tips and shudders came up, and the candle-scent  
air was thick-alive with pearwood,  
ebony, spruce, poplar, and horse  
howled, and cat skreeled, and then,  
when the Grösse Fugue was around us, under us,  
over us, in us, I felt I was hearing  
the genes of my birth-family, pulled, keening  
and grieving and scathing, along each other,  
scraping and craving, I felt myself held in that  
woods of hating longing, and I knew  
and knew myself, and my parents, and their parents,  
there—and then, at a distance, I sensed,  
as if it were thirty years ago,  
a being, far off yet, oblique-approaching,  
straying toward, and then not toward,  
and then toward this place, like a wandering dreaming  
herdsman, my husband. And I almost wanted  
to warn him away, to call out to him  
to go back whence he came, into some calmer life,  
but his beauty was too moving to me,  
and I wanted too much to not be alone, in the  
covert, any more, and so I prayed him  
come to me, I bid him hasten, and good welcome."
